freq,items
1,"['7898940257393', '7891058002657', '7896004706474', '0000023384248']"
1,"['7898940257393', '7891058002657', '0000023384248']"
1,"['7898940257393', '7896422507950']"
1,"['7898940257393', '7896422507950', '7896004706474']"
1,"['7898940257393', '7896422507950', '7896004706474', '0000023384248']"
1,"['7898940257393', '7896422507950', '0000023384248']"
1,"['7898940257393', '7896004706474']"
1,"['7898940257393', '7896004706474', '0000023384248']"
1,"['7898940257393', '0000023384248']"
1,['7896004706474']
1,"['7896004706474', '0000023384248']"
1,['7896641810695']
1,"['7896641810695', '7896094910683']"
1,"['7896641810695', '7896094910683', '0000023384248']"
1,"['7896641810695', '0000023384248']"
1,['7896331704808']
1,"['7896331704808', '7896714207551']"
1,"['7896331704808', '7896714207551', '0000023384248']"
1,"['7896331704808', '0000023384248']"
